Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;zeiliche Ableitung w_1 / rad/s;FFT fft / rad
10,40012575;0,507806622194274;0,01;-1,12;-5,57646455896584;0,278491911498256
10,49958025;0,512689378176911;0,005;-1,62;-4,1130734372655;0,61535891646859
10,59985725;0,517572134159549;0,005;-1,94;-2,19393402984336;0,883184085102201
10,700123;0,522454890142186;0,01;-2,06;-0,200645687070108;0,809120350963665
10,80052025;0,527337646124823;0,005;-1,98;1,91967494673323;0,453329647711988
10,899602;0,53222040210746;0,01;-1,68;3,78651038142406;0,135542233784993
11,00049875;0,537103158090098;0,005;-1,22;5,2691374060323;0,0296712875366211
11,10090525;0,541985914072735;0,01;-0,62;6,30152649582628;0,0290298635854661
11,20053075;0,546868670055372;0,01;0,04;6,53920790866602;0,0235569246160159
11,3012645;0,551751426038009;0,01;0,69;6,07717208822948;0,0200074939607824
11,4011815;0,556634182020647;0,01;1,26;5,0605648490633;0,0175565167792938
11,50076125;0,561516938003284;0,005;1,7;3,51947722593421;0,0156385655673045
11,599798;0,566399693985921;0,005;1,96;1,56954881395049;0,0137742606348961
11,70042025;0,571282449968558;0,005;2,01;-0,548240144408555;0,0128032186496183
11,80091725;0,576165205951195;0,005;1,85;-2,56230814669968;0,0116654270100144
11,90029925;0,581047961933833;0,01;1,5;-4,27310063637472;0,0109224547380171
11,99979575;0,58593071791647;0,01;1;-5,59626302272156;0,00983655137835809
12,10023875;0,590813473899107;0,01;0,38;-6,30267585044929;0,00948313887014329
12,201273;0,595696229881745;0,01;-0,27;-6,32585417010266;0,00869048316523714
12,29932125;0,600578985864382;0,005;-0,88;-5,75915712850192;0,00835177733463311
12,399577;0,605461741847019;0,005;-1,41;-4,48563841984335;0,0077876663807803
12,50003325;0,610344497829656;0,005;-1,78;-2,8384062892658;0,00752630443692957
12,60025375;0,615227253812293;0,01;-1,98;-0,895847187473951;0,00702138996724063
12,70013925;0,620110009794931;0,005;-1,96;1,18220773858889;0,00685915287185765
12,80123725;0,624992765777568;0,01;-1,74;3,11649756941598;0,00655877425235772
12,90029775;0,629875521760205;0,01;-1,34;4,65349187530217;0,0063411682656726
13,0007235;0,634758277742843;0,01;-0,81;5,72318716200952;0,00606831364661643
13,09971;0,63964103372548;0,01;-0,2;6,26729505535108;0,00589590027647198
13,2001235;0,644523789708117;0,005;0,44;6,12505279008684;0,00567387649848026
13,3005235;0,649406545690754;0,01;1,03;5,29876607688866;0,00538934851592442
13,39996125;0,654289301673391;0,01;1,5;3,96431849988051;0,00518601840397097
13,50005375;0,659172057656029;0,01;1,82;2,19754699479506;0,00500635710902184
13,600579;0,664054813638666;0,01;1,94;0,186767978109309;0,00497076031546923
13,69975325;0,668937569621303;0,01;1,86;-1,74293608544475;0,00481936646707403
13,80011075;0,673820325603941;0,005;1,59;-3,55093533342374;0,00478324830157202
13,89995075;0,678703081586578;0,01;1,15;-5,04785115059989;0,00448285303775619
14,00011375;0,683585837569215;0,005;0,58;-5,91787829533936;0,00433099374831098
14,100982;0,688468593551852;0,01;-0,04;-6,19224165770241;0,00418215337789284
14,20038575;0,69335134953449;0,005;-0,66;-5,82301181982976;0,00401185383586764
14,3002585;0,698234105517127;0,005;-1,2;-4,8136661038053;0,00394185099211879
14,39971575;0,703116861499764;0,005;-1,62;-3,31174582436455;0,00386702309614457
14,50001375;0,707999617482401;0,005;-1,86;-1,49582664246805;0,00397887334883588
14,60050125;0,712882373465038;0,01;-1,92;0,40747089886784;0,00374880744226324
14,7002035;0,717765129447676;0,005;-1,78;2,33403824280433;0,00376260752947825
14,80099575;0,722647885430313;0,005;-1,45;4,0377549872312;0,00352057540941538
14,90107775;0,72753064141295;0,005;-0,97;5,31476839740098;0,00365035661361502
15,00055725;0,732413397395588;0,005;-0,39;5,99918004441757;0,00345627414355488
15,09947;0,737296153378225;0,01;0,22;6,01689254781732;0,00338262791903514
15,20008125;0,742178909360862;0,01;0,81;5,42518000327078;0,00330953410586471
15,30032575;0,747061665343499;0,01;1,31;4,34742164459585;0,00322722054127627
15,40004575;0,751944421326136;0,01;1,68;2,75589820365879;0,00328740923659607
15,50019725;0,756827177308774;0,005;1,86;0,851349525805848;0,00316728316013168
15,60085375;0,761709933291411;0,01;1,85;-1,10295448631432;0,00303593304172252
15,70085325;0,766592689274048;0,005;1,64;-2,91158454575599;0,00302940059757832
15,800342;0,771475445256686;0,005;1,27;-4,41406806478161;0,00301610433830405
15,9001235;0,776358201239323;0,005;0,76;-5,47785508541094;0,00295660563235013
16,00100275;0,78124095722196;0,005;0,17;-5,92856291231356;0,00291655356029295
16,10087375;0,786123713204597;0,01;-0,43;-5,81855785542139;0,00282262038884673
16,2003385;0,791006469187234;0,005;-0,99;-5,04869482160563;0,00291996714454027
16,3012645;0,795889225169872;0,005;-1,44;-3,73323304509051;0,00283398770686216
16,400638;0,800771981152509;0,01;-1,74;-2,11248615727267;0,00270903815263472
16,500519;0,805654737135146;0,005;-1,86;-0,200707168842809;0,00266691896150697
16,600452;0,810537493117784;0,005;-1,78;1,65318504165329;0,00259017884356421
16,70026125;0,815420249100421;0,005;-1,53;3,35126457852419;0,00261743278623377
16,80027375;0,820303005083058;0,005;-1,11;4,7476739377643;0,00265388541251608
16,90205375;0,825185761065695;0,005;-0,57;5,62208609868339;0,00260592983953608
16,99992025;0,830068517048333;0,005;0,01;5,90884593824323;0,00264713951626664
17,10007575;0,83495127303097;0,005;0,6;5,53349449674172;0,00235833102052317
